mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.025979328155517577,0.025283675752137615,0.007378816604614258,0.004479574598257941,gini,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5}",0.8259979529170931,0.8259979529170931,0.8285568065506653,0.8202764976958525,0.819252432155658,0.8240163284472726,0.003609727258746786,39
0.014657688140869141,0.0011698185505743814,0.003584432601928711,0.0007856353505992832,gini,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 10}",0.8259979529170931,0.8259979529170931,0.8285568065506653,0.8202764976958525,0.819252432155658,0.8240163284472726,0.003609727258746786,39
0.013173532485961915,0.0009833723521571482,0.0030609607696533204,0.0006672470562041805,gini,2,20,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 20}",0.8259979529170931,0.8259979529170931,0.8285568065506653,0.8202764976958525,0.819252432155658,0.8240163284472726,0.003609727258746786,39
0.01834444999694824,0.00966586693687577,0.011278915405273437,0.010993965178373848,gini,2,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 50}",0.8259979529170931,0.8259979529170931,0.8285568065506653,0.8202764976958525,0.819252432155658,0.8240163284472726,0.003609727258746786,39
0.029823160171508788,0.0016237064209394356,0.00937514305114746,0.0017396264478717804,gini,2,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 100}",0.8219037871033776,0.8203684749232344,0.8285568065506653,0.8131080389144906,0.8095238095238095,0.8186921834031156,0.006718286845494406,55
0.02772364616394043,0.0014665163010968195,0.010173273086547852,0.0024744736948081733,gini,2,150,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 150}",0.8219037871033776,0.8203684749232344,0.8193449334698055,0.8131080389144906,0.8095238095238095,0.8168498087869436,0.004729068880160868,56
0.08078413009643555,0.012214433071989222,0.018351078033447266,0.008262053081346312,gini,3,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8253968253968254,0.8304659498207885,0.0036663091844953487,24
0.08088622093200684,0.01991286375609831,0.022443342208862304,0.006619615703614017,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8253968253968254,0.8304659498207885,0.0036663091844953487,24
0.07780437469482422,0.011356286774318589,0.03600764274597168,0.01630176601167309,gini,3,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8253968253968254,0.8304659498207885,0.0036663091844953487,24
0.09075937271118165,0.03838767718018305,0.020142412185668944,0.00996161120007667,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 50}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8253968253968254,0.8304659498207885,0.0036663091844953487,24
0.09893980026245117,0.030034175099484566,0.04119415283203125,0.035232516570274736,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 100}",0.8275332650972365,0.8203684749232344,0.8336745138178097,0.8207885304659498,0.830005120327701,0.8264739809263861,0.0051969270312214755,38
0.1260690689086914,0.06040296011842807,0.024038362503051757,0.021294315548180252,gini,3,150,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 150}",0.8219037871033776,0.8203684749232344,0.8229273285568065,0.8131080389144906,0.815668202764977,0.8187951664525773,0.003777165791650851,54
0.21464090347290038,0.07878393464174824,0.030917596817016602,0.02761026374381477,gini,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5}",0.8357215967246674,0.8418628454452405,0.8336745138178097,0.8325652841781874,0.8381976446492575,0.8364043769630325,0.0033366948383666746,6
0.1090113639831543,0.022571075438543593,0.028126907348632813,0.025172528288666646,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.834186284544524,0.8408393039918116,0.838792221084954,0.8325652841781874,0.837173579109063,0.836711334581708,0.003004979258897738,5
0.12537055015563964,0.02035878054656942,0.020247888565063477,0.014486562455979858,gini,5,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20}",0.8346980552712385,0.8367451381780963,0.8362333674513818,0.8325652841781874,0.837173579109063,0.8354830848375935,0.0016818623977472276,9
0.11699657440185547,0.023450173275396582,0.01036992073059082,0.0024123544373719583,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 50}",0.8362333674513818,0.8367451381780963,0.834186284544524,0.8289810547875064,0.8294930875576036,0.8331277865038225,0.003294137356460101,16
0.14172496795654296,0.034892519683216175,0.05844349861145019,0.08373452867498238,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100}",0.8326509723643808,0.8326509723643808,0.8336745138178097,0.8269329237071172,0.8259088581669227,0.8303636480841222,0.0032570096588737645,28
0.161091947555542,0.027344360175203874,0.052361249923706055,0.026127997047404327,gini,5,150,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 150}",0.8300921187308086,0.8203684749232344,0.8229273285568065,0.8125960061443932,0.8141321044546851,0.8200232065619856,0.006321463709415383,47
