mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_Reg__C,param_logistic_Reg__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03569808006286621,0.027490513120335718,0.0,0.0,0.0001,l1,"{'logistic_Reg__C': 0.0001, 'logistic_Reg__penalty': 'l1'}",,,,,,,,100
0.07340478897094727,0.05549133989311161,0.009574985504150391,0.004352241111613699,0.0001,l2,"{'logistic_Reg__C': 0.0001, 'logistic_Reg__penalty': 'l2'}",0.7589559877175026,0.7589559877175026,0.7589559877175026,0.7593445980542755,0.7593445980542755,0.7591114318522117,0.00019037940677291924,50
0.020346403121948242,0.002570474622998416,0.0,0.0,0.00014563484775012445,l1,"{'logistic_Reg__C': 0.00014563484775012445, 'logistic_Reg__penalty': 'l1'}",,,,,,,,68
0.061740446090698245,0.013391823664570354,0.007978010177612304,0.0006306004458923271,0.00014563484775012445,l2,"{'logistic_Reg__C': 0.00014563484775012445, 'logistic_Reg__penalty': 'l2'}",0.759467758444217,0.7599795291709315,0.7599795291709315,0.7613927291346646,0.7603686635944701,0.760237641903043,0.0006445708807275928,49
0.02034783363342285,0.002325736111042003,0.0,0.0,0.00021209508879201905,l1,"{'logistic_Reg__C': 0.00021209508879201905, 'logistic_Reg__penalty': 'l1'}",,,,,,,,65
0.07939777374267579,0.021677498786186324,0.016953659057617188,0.013216385054351232,0.00021209508879201905,l2,"{'logistic_Reg__C': 0.00021209508879201905, 'logistic_Reg__penalty': 'l2'}",0.77021494370522,0.7732855680655066,0.7686796315250768,0.7757296466973886,0.7685611879160267,0.7712941955818438,0.0027967428086481784,48
0.030913257598876955,0.010818293388081338,0.0,0.0,0.00030888435964774815,l1,"{'logistic_Reg__C': 0.00030888435964774815, 'logistic_Reg__penalty': 'l1'}",,,,,,,,62
0.06761984825134278,0.033002369144685406,0.013562822341918945,0.010221944563514466,0.00030888435964774815,l2,"{'logistic_Reg__C': 0.00030888435964774815, 'logistic_Reg__penalty': 'l2'}",0.7809621289662231,0.7881269191402251,0.7845445240532242,0.7885304659498208,0.7798259088581669,0.784397989393532,0.003569672512944348,47
0.02633066177368164,0.005557005985352588,0.0,0.0,0.0004498432668969444,l1,"{'logistic_Reg__C': 0.0004498432668969444, 'logistic_Reg__penalty': 'l1'}",,,,,,,,59
0.09645233154296876,0.04144290625098397,0.01835155487060547,0.012968006967095705,0.0004498432668969444,l2,"{'logistic_Reg__C': 0.0004498432668969444, 'logistic_Reg__penalty': 'l2'}",0.7840327533265097,0.793756397134084,0.7958034800409417,0.7992831541218638,0.7900665642601127,0.7925884697767024,0.00521688480231905,46
0.024040031433105468,0.006540962825102323,0.0,0.0,0.0006551285568595509,l1,"{'logistic_Reg__C': 0.0006551285568595509, 'logistic_Reg__penalty': 'l1'}",,,,,,,,54
0.06901702880859376,0.016246976736229116,0.01595454216003418,0.009314112564009696,0.0006551285568595509,l2,"{'logistic_Reg__C': 0.0006551285568595509, 'logistic_Reg__penalty': 'l2'}",0.7911975435005117,0.8029682702149437,0.7988741044012283,0.8038914490527393,0.7962109575012801,0.7986284649341406,0.004640176418982369,45
0.04128732681274414,0.014379516944492236,0.0,0.0,0.0009540954763499944,l1,"{'logistic_Reg__C': 0.0009540954763499944, 'logistic_Reg__penalty': 'l1'}",,,,,,,,51
0.0970466136932373,0.011163847413638364,0.008975887298583984,0.00454445890921693,0.0009540954763499944,l2,"{'logistic_Reg__C': 0.0009540954763499944, 'logistic_Reg__penalty': 'l2'}",0.7998976458546572,0.8178096212896623,0.8106448311156602,0.8079877112135176,0.8033794162826421,0.8079438451512277,0.006167756840889518,44
0.05695829391479492,0.026938807396960213,0.0,0.0,0.0013894954943731374,l1,"{'logistic_Reg__C': 0.0013894954943731374, 'logistic_Reg__penalty': 'l1'}",,,,,,,,71
0.11828413009643554,0.021171213901273037,0.03889684677124024,0.03767136900499863,0.0013894954943731374,l2,"{'logistic_Reg__C': 0.0013894954943731374, 'logistic_Reg__penalty': 'l2'}",0.8060388945752303,0.8244626407369499,0.8137154554759468,0.8131080389144906,0.8095238095238095,0.8133697678452855,0.006193107931789498,43
0.04897365570068359,0.051576848904284656,0.0,0.0,0.0020235896477251557,l1,"{'logistic_Reg__C': 0.0020235896477251557, 'logistic_Reg__penalty': 'l1'}",,,,,,,,98
0.08658819198608399,0.010299579498869775,0.01755242347717285,0.013552436390973322,0.0020235896477251557,l2,"{'logistic_Reg__C': 0.0020235896477251557, 'logistic_Reg__penalty': 'l2'}",0.8121801432958035,0.8229273285568065,0.8147389969293757,0.8197644649257553,0.8177163338453661,0.8174654535106214,0.003756289206269773,42
0.03450865745544433,0.009741971603443405,0.0,0.0,0.0029470517025518097,l1,"{'logistic_Reg__C': 0.0029470517025518097, 'logistic_Reg__penalty': 'l1'}",,,,,,,,95
0.22670445442199708,0.13978326620856213,0.008179044723510743,0.0011633841930210052,0.0029470517025518097,l2,"{'logistic_Reg__C': 0.0029470517025518097, 'logistic_Reg__penalty': 'l2'}",0.8157625383828045,0.8224155578300921,0.8178096212896623,0.8228366615463389,0.8172043010752689,0.8192057360248335,0.00287391942745123,41
0.040699338912963866,0.020041378044305867,0.0,0.0,0.004291934260128779,l1,"{'logistic_Reg__C': 0.004291934260128779, 'logistic_Reg__penalty': 'l1'}",,,,,,,,92
